代码,简称
000998.SH,中证TMT
399802.SZ,500深市
399803.SZ,工业4.0
399804.SZ,中证体育
399805.SZ,互联金融
399806.SZ,环境治理
399807.SZ,高铁产业
399808.SZ,中证新能
399812.SZ,养老产业
399813.SZ,中证国安
399814.SZ,大农业
399966.SZ,中证800证保
399967.SZ,中证军工
399970.SZ,中证移动互联
399971.SZ,中证传媒
399972.SZ,300深市
399973.SZ,中证国防
399976.SZ,CS新能车
399987.SZ,中证酒
399989.SZ,中证医疗
399990.SZ,煤炭等权
399991.SZ,一带一路
399994.SZ,信息安全
399996.SZ,中证智能家居
399997.SZ,中证白酒
930598.CSI,稀土产业
930599.CSI,中证高装
930601.CSI,软件服务
930607.CSI,中证汽车
930608.CSI,中证基建
930611.CSI,中小国改
930612.CSI,混合改革
930613.CSI,非周民企
930614.CSI,环保50
930615.CSI,中小医疗
930616.CSI,中证文体
930617.CSI,军工信息
930618.CSI,中证保险
930619.CSI,黄金采掘
930632.CSI,CS稀金属
930633.CSI,中证旅游
930634.CSI,CS土改农
930635.CSI,CS智慧农
930641.CSI,中证中药
930642.CSI,中证核电
930643.CSI,CS轻资产
930644.CSI,港股通中国内地(HKD)
930645.CSI,港股通中国内地(CNY)
930648.CSI,CS智消费
930649.CSI,中证安防
930650.CSI,中证海洋
930651.CSI,CS计算机
930652.CSI,CS电子
930653.CSI,CS食品饮
930654.CSI,CS休闲娱
930658.CSI,CS汽车AM
930659.CSI,CS能源互
930662.CSI,CS现代农
930663.CSI,中证创投
930667.CSI,300精明
930668.CSI,300精明(HKD)
930669.CSI,300精明(USD)
930698.CSI,CS水利
930699.CSI,萧何重组
930700.CSI,CS上海
930701.CSI,CS京津冀
930702.CSI,CS西部
930703.CSI,CS福建
930704.CSI,CS广东
930706.CSI,中证水泥
930707.CSI,中证畜牧
930708.CSI,中证有色
930709.CSI,香港证券
930710.CSI,香港证券(CNY)
930711.CSI,CS智穿戴
930712.CSI,CS物联网
930713.CSI,CS人工智
930714.CSI,CS智家电
930716.CSI,CS物流
930717.CSI,CS教育
930718.CSI,CS海运
930719.CSI,CS精准医
930720.CSI,CS互医疗
930721.CSI,CS智汽车
930722.CSI,CS互平台
930725.CSI,CS车联网
930726.CSI,CS生医
930727.CSI,CS自贸区
930728.CSI,CS乐园
930729.CSI,银智100
930730.CSI,银策消费
930731.CSI,CS西藏
930732.CSI,CS中国造
930733.CSI,CS互联+
930734.CSI,360互联+
930738.CSI,四川国改
930741.CSI,CS航空
930742.CSI,中证电商
930743.CSI,中证生科
930744.CSI,中证信托
930746.CSI,港中小企
930747.CSI,港中小企(CNY)
930748.CSI,沪深300USD
930749.CSI,沪深300USD(CNH)
930750.CSI,中证500USD
930751.CSI,中证500USD(CNH)
930752.CSI,中证500HKD
930753.CSI,中证500HKD(CNH)
930754.CSI,民企成长USD
930755.CSI,民企成长USD(CNH)
930756.CSI,环保USD
930757.CSI,环保USD(CNH)
930766.CSI,CS民参军
930771.CSI,CS新能源
930781.CSI,中证影视
930789.CSI,CSMA预期
930790.CSI,CS娱乐TI
930791.CSI,CS医药TI
930820.CSI,CS高端制
930821.CSI,中证VR
930822.CSI,CS院校企
930838.CSI,CS高股息
930845.CSI,CS供给侧
930850.CSI,智能制造
930851.CSI,云计算
930852.CSI,量子通信
930853.CSI,海绵城市
930854.CSI,水环境
930875.CSI,空天一体
930883.CSI,创新驱动
930884.CSI,300创新
930885.CSI,500创新
930899.CSI,全球消费50(CNY)
930900.CSI,全球消费50(USD)
930901.SH,动漫游戏
930902.CSI,中证数据
930904.CSI,中证PPP
930905.CSI,CS贵金属
930956.CSI,绿色投资
930981.CSI,东北指数
930982.CSI,扶贫发展
930986.CSI,金融科技
930987.CSI,安徽发展
930997.CSI,新能源车
931000.CSI,大湾区
931003.CSI,农业改革
931004.CSI,女性消费
931005.CSI,母婴消费
931006.CSI,老年消费
931007.CSI,新生消费
931011.CSI,医药创新
931012.CSI,CS黄金
931020.CSI,装配建筑
931021.CSI,家居家电
931022.CSI,大气治理
931023.CSI,北京50
931032.CSI,复兴100
931033.CSI,杭州湾区
931037.CSI,绿色领先
931057.CSI,股权激励
931058.CSI,竞争优势
931063.CSI,创始经营
931065.CSI,财通浙30
931066.CSI,军工龙头
931068.CSI,消费龙头
931071.CSI,人工智能
931079.CSI,5G通信
931081.CSI,中证半导
931083.CSI,全球电子游戏(CNY)
931084.CSI,全球电子游戏(HKD)
931085.CSI,全球电子游戏(USD)
931087.CSI,科技龙头
931089.CSI,180ESG
931123.CSI,蓝天环境改善(CNY)
931124.CSI,蓝天环境改善(HKD)
931125.CSI,蓝天环境改善(USD)
931126.CSI,蓝天环境改善(EUR)
931127.CSI,浙江新动能(CNY)
931128.CSI,浙江新动能(USD)
931136.CSI,深圳科技(CNY)
931137.CSI,深圳科技(HKD)
931139.CSI,CS消费50
931140.CSI,医药50
931141.CSI,CS长三角
931144.CSI,通信技术
931145.CSI,中证绿色债
931148.CSI,ESG80
931151.CSI,光伏产业
931152.CSI,CS创新药
931159.CSI,创新100
931163.CSI,浙江100
931169.CSI,证券30
931170.CSI,民企龙头
931171.CSI,长三角指
931173.CSI,中证德邦消费与供应链金融ABS
931176.CSI,台州综指
931177.CSI,全球台州综指(人民币)
931178.CSI,全球台州综指(美元)
931179.CSI,台州制造30
931186.CSI,建投科技
931187.CSI,科技100
950070.CSI,上证汽车
950071.CSI,上证基建
950072.CSI,沪信安全
950073.CSI,沪互联网
950074.CSI,沪互金融
950075.CSI,沪现代农
950079.CSI,上证混改
950080.CSI,中小企改
950081.CSI,180碳效
950082.CSI,上海改革
950085.SH,沪物联网
950086.SH,沪自贸区
950087.SH,上证海洋
950088.SH,沪轻资产
950089.SH,上证电子
950096.CSI,上海国企
950097.SH,沪供给侧
950100.SH,上高股息
950101.SH,沪智能造
950106.SH,上证创新
950107.SH,380创新
